Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10
"(78, 0.13465320668168135)","(188, 0.13619979909031008)","(657, 0.1285019054791364)","(256, 0.12998136715930858)","(68, 0.08439439769551237)","(329, 0.06410250072723428)","(573, 0.11946699913065421)","(153, 0.1282429374317725)","(663, 0.12626338188939115)","(228, 0.11514370261763307)"
"(520, 0.13463191312786052)","(386, 0.1359712053829805)","(228, 0.12833780479474485)","(51, 0.1299813422799475)","(464, 0.08414265345561715)","(132, 0.06397953282539716)","(630, 0.11942203742773631)","(618, 0.12803429682540196)","(278, 0.1261837068656359)","(4, 0.11496865587023218)"
"(290, 0.13434558749076453)","(586, 0.13592031243299324)","(443, 0.1282315451105891)","(565, 0.1298979885528871)","(489, 0.08389047819221673)","(66, 0.0639376117499356)","(624, 0.11938006639967393)","(175, 0.12798657503993008)","(555, 0.12611140388252076)","(271, 0.11483969733321372)"
"(660, 0.13422561347026238)","(397, 0.13589901913516175)","(62, 0.12794856935227175)","(673, 0.12981713595465103)","(318, 0.08380016789556789)","(275, 0.06386974942965347)","(642, 0.11891982652633097)","(20, 0.12794241222310437)","(70, 0.1257737913405982)","(629, 0.11482189465434504)"
"(467, 0.134138135625713)","(401, 0.13540001388288223)","(660, 0.12790335437749603)","(462, 0.12960294104395492)","(191, 0.08362980743424386)","(148, 0.06381252918948456)","(6, 0.11885671100767392)","(435, 0.1279199437798341)","(609, 0.12574267270827974)","(133, 0.11474538607585631)"
"(219, 0.13409604387125088)","(153, 0.13516806784111218)","(583, 0.12786590701893033)","(623, 0.12955222358252963)","(21, 0.08323310984564254)","(189, 0.06380968853471033)","(74, 0.11873258991506581)","(481, 0.12790876745383628)","(547, 0.12566284374411937)","(53, 0.1146938346606367)"
"(21, 0.13396768206557166)","(42, 0.1349989087231807)","(558, 0.12784875964393203)","(401, 0.12951675559336337)","(394, 0.08313264616239946)","(164, 0.06380841549246914)","(114, 0.11857082223440547)","(398, 0.12784794811382477)","(397, 0.12563282260124273)","(389, 0.11419578494829749)"
"(592, 0.13381589519464518)","(591, 0.13486780005394455)","(72, 0.1278206732445308)","(309, 0.12945534183099416)","(612, 0.08288998994461373)","(598, 0.06374730389781248)","(452, 0.1184258051579867)","(506, 0.12756406192060327)","(621, 0.12551300643293808)","(272, 0.11404811672287793)"
"(129, 0.13366557221602687)","(291, 0.13484102771192621)","(637, 0.12781320310796201)","(425, 0.12928719031915425)","(46, 0.08277349912963577)","(183, 0.06371838639425008)","(298, 0.11803508794390066)","(488, 0.12724969306909373)","(97, 0.1254913261776437)","(446, 0.1136886785755671)"
"(410, 0.13324912614870796)","(551, 0.1348043748593795)","(159, 0.1277840129396112)","(402, 0.12928114108371874)","(237, 0.08263663838583313)","(182, 0.06367923412108663)","(476, 0.1179716667240151)","(499, 0.1269325996476706)","(467, 0.12546045241127418)","(181, 0.11320701294722818)"
"(126, 0.13324870811780948)","(177, 0.13468579375868356)","(528, 0.1277465128374297)","(151, 0.1290130998932667)","(423, 0.08255397073277834)","(146, 0.06358538324550633)","(475, 0.11795269110909909)","(78, 0.1267359279073555)","(292, 0.12532391783744704)","(191, 0.11301002059430956)"
"(151, 0.13309078856342818)","(657, 0.13457916729245104)","(169, 0.12763832906083689)","(427, 0.12898122429735628)","(665, 0.08253658603691888)","(605, 0.06333826584381844)","(582, 0.11786971171452978)","(86, 0.12672983503921798)","(481, 0.12521834524765268)","(294, 0.11241397866043881)"
"(74, 0.13286070861289942)","(109, 0.1344191176226957)","(544, 0.1274900764646009)","(16, 0.12878879663000714)","(7, 0.0821357296364998)","(619, 0.06331018021686634)","(128, 0.11783907279439464)","(76, 0.1263880973537786)","(150, 0.12504629614258322)","(424, 0.11220825705869124)"
"(533, 0.13267278435817823)","(128, 0.13427196577473766)","(615, 0.12725839903810396)","(133, 0.12871755816448535)","(587, 0.0820883956255222)","(422, 0.0632960046212079)","(628, 0.11774553956232996)","(492, 0.12604718137066478)","(605, 0.12499434747706831)","(674, 0.11205546860249306)"
"(124, 0.1326196290530542)","(494, 0.13425861081969906)","(330, 0.1271398371916127)","(14, 0.1286596533208049)","(247, 0.08192597427621967)","(564, 0.06326294936997581)","(664, 0.1176937449573313)","(275, 0.1260298452092134)","(468, 0.12473354553652453)","(59, 0.11171867366739739)"
"(605, 0.13251718198026813)","(439, 0.13422614704748875)","(656, 0.12701241542419478)","(87, 0.12865505394520832)","(157, 0.08181951928033042)","(57, 0.06321536205581257)","(562, 0.11748542415812398)","(604, 0.12581724391620558)","(61, 0.12452715004690157)","(71, 0.11111955833621835)"
"(511, 0.13196970180554762)","(186, 0.13413380613391798)","(393, 0.1267381211802236)","(328, 0.12835841267403006)","(175, 0.08181462422921452)","(295, 0.06319743837163083)","(627, 0.11740232320393686)","(199, 0.1257317422306149)","(643, 0.12397350375620972)","(589, 0.11092299644991804)"
"(528, 0.13188936126169173)","(44, 0.13401727068368413)","(488, 0.12645648587132075)","(188, 0.12823959723473494)","(633, 0.08172656199479775)","(457, 0.06298016321719933)","(299, 0.11720340783189978)","(88, 0.12568220535587674)","(583, 0.12387229131599556)","(185, 0.11087920648367901)"
"(632, 0.13135019887033772)","(585, 0.13386478054558937)","(125, 0.1263053813308187)","(505, 0.1281572710647189)","(69, 0.08156314226329245)","(508, 0.06297885054220682)","(275, 0.1169657596984975)","(538, 0.12558297425331807)","(72, 0.12356397017797112)","(654, 0.1104860148763264)"
"(518, 0.13115150044277324)","(495, 0.13384022744222518)","(655, 0.12619163860866106)","(109, 0.12814206841238418)","(9, 0.08154835415078826)","(487, 0.06292713939178368)","(604, 0.11695691601265015)","(401, 0.12526698690357024)","(191, 0.12355173614159373)","(588, 0.11007143386855953)"
"(178, 0.1311203972556474)","(20, 0.1338112285161998)","(219, 0.1261755765547818)","(406, 0.12806812212878468)","(158, 0.081413547647752)","(78, 0.06286649680571746)","(107, 0.11684396859986981)","(318, 0.1251618319717201)","(125, 0.12354228490050456)","(26, 0.10999293269497129)"
"(631, 0.13109279138348995)","(619, 0.1338041931945269)","(554, 0.12615043119063318)","(45, 0.1277338961247593)","(212, 0.08141131704048778)","(581, 0.06281949026236576)","(393, 0.1167078512778977)","(597, 0.12505450490279812)","(143, 0.12348907380688551)","(31, 0.10995028234260497)"
"(185, 0.13101905551641385)","(85, 0.13378730581667309)","(445, 0.12612887301799347)","(124, 0.12771098704172226)","(571, 0.08113519624063985)","(469, 0.06272413565281883)","(222, 0.11658551929029974)","(178, 0.12478917755347949)","(429, 0.12334184962167477)","(240, 0.10971077377663037)"
"(221, 0.13092190630294695)","(508, 0.13369429644247513)","(147, 0.1260816189887461)","(460, 0.1276127788189134)","(141, 0.08080609712954971)","(134, 0.06263787623284998)","(217, 0.11653303035960046)","(429, 0.12466189310251881)","(678, 0.12331452838892704)","(304, 0.10969657584038209)"
"(308, 0.13091704221688946)","(465, 0.13342325776872097)","(94, 0.1258040258869728)","(614, 0.12755287412415967)","(674, 0.08070270443391622)","(297, 0.06256647810001535)","(631, 0.11634565204718161)","(590, 0.12454039688568656)","(53, 0.12305580311468921)","(206, 0.10965889080298737)"
"(424, 0.13090102234462977)","(552, 0.13332836148346028)","(490, 0.12575386355253756)","(242, 0.12754338210027977)","(609, 0.08009216682916062)","(309, 0.062496168348776575)","(632, 0.11609940548784885)","(578, 0.12410450880563345)","(290, 0.1230113688037678)","(270, 0.10963113684407677)"
"(606, 0.13061853993665842)","(45, 0.1329602322809624)","(145, 0.12567378948761326)","(73, 0.1274612251362635)","(221, 0.07997587332657727)","(138, 0.06248559564983555)","(490, 0.11566645079649425)","(244, 0.12370644163274151)","(62, 0.1224314914206396)","(596, 0.10937879669127508)"
"(193, 0.13044572768476492)","(166, 0.13285908626850895)","(137, 0.12560986422474624)","(39, 0.12722319473208665)","(446, 0.0794679472541269)","(529, 0.06244824378450201)","(31, 0.11548222887795286)","(212, 0.12363407114403302)","(644, 0.12219830712268281)","(586, 0.10904438942058445)"
"(598, 0.130213329142468)","(385, 0.1327191560237574)","(80, 0.12539069823385113)","(165, 0.12717441222448087)","(301, 0.07945655640725068)","(624, 0.062408064607385516)","(240, 0.11546072105336082)","(627, 0.12363359043328376)","(27, 0.12213419543194678)","(189, 0.10893672205750841)"
"(633, 0.13001221890969555)","(496, 0.13271709604692283)","(88, 0.12533441609987173)","(518, 0.1271139607387293)","(448, 0.07941703923171636)","(626, 0.062406471307334746)","(179, 0.11536378322966938)","(674, 0.12359553455911002)","(608, 0.1220561833467146)","(23, 0.1089039179931996)"
"(505, 0.12966638379178502)","(582, 0.1326613439741924)","(548, 0.1253263343071248)","(613, 0.1269680023265723)","(675, 0.07930947407306198)","(479, 0.06223613321770896)","(64, 0.1151167002919854)","(144, 0.12346490826531448)","(147, 0.12168586383211542)","(201, 0.10873496362534435)"
"(132, 0.12923055638635855)","(154, 0.13251504248909773)","(176, 0.12493047128169145)","(71, 0.12695062248536362)","(61, 0.07929716911711454)","(577, 0.06208164681790625)","(591, 0.11490404581855744)","(74, 0.12344968823279609)","(576, 0.12159372034365898)","(399, 0.10853904208631227)"
"(80, 0.12905071900915932)","(590, 0.132464106390278)","(608, 0.12489296814253917)","(507, 0.12692648298740977)","(169, 0.07905497116649006)","(481, 0.06202687789220315)","(577, 0.11484713921314674)","(295, 0.12342156431482337)","(648, 0.12154020894199638)","(433, 0.10841998677751005)"
"(51, 0.12883662589804634)","(538, 0.13238554968084026)","(624, 0.1247817063892133)","(561, 0.1269245665391425)","(544, 0.07887750285179762)","(537, 0.06198856445071035)","(270, 0.11465540666624728)","(397, 0.12316252483207964)","(94, 0.12121752806421736)","(57, 0.10837007474157034)"
"(623, 0.12881820549294545)","(425, 0.1323760538231431)","(42, 0.12454606442264471)","(486, 0.12690087168424508)","(81, 0.07866469738441954)","(678, 0.06194424605761399)","(148, 0.11455856208003863)","(438, 0.12315163401890955)","(460, 0.12120272396923965)","(565, 0.10817692484962309)"
"(586, 0.12875260328385194)","(203, 0.1320770354557276)","(398, 0.12441568317232757)","(417, 0.1268847666901845)","(578, 0.07864060545205065)","(623, 0.061937552084827645)","(242, 0.11447363498549798)","(628, 0.12308953868020546)","(398, 0.12116345602392138)","(169, 0.10813461952788687)"
"(407, 0.1287444773793161)","(429, 0.13192373847501543)","(183, 0.12438636826445394)","(470, 0.1266385868567009)","(648, 0.0785506707755806)","(498, 0.06173488669645184)","(473, 0.11437762463324716)","(446, 0.12292928939930513)","(88, 0.12081894802111161)","(649, 0.10796364811941206)"
"(94, 0.12862967655000454)","(117, 0.1318995484987476)","(545, 0.12415847392869525)","(127, 0.1266090044254386)","(551, 0.07854383603903904)","(571, 0.061715271377820215)","(485, 0.11432182746912868)","(300, 0.12275923752157306)","(80, 0.12074058672806218)","(159, 0.1079409497340611)"
"(497, 0.12841464697720906)","(133, 0.13178312674925954)","(278, 0.12409923606306208)","(535, 0.12644802312846168)","(6, 0.07848131259813484)","(144, 0.06169866468237678)","(598, 0.11409838814878688)","(646, 0.1225831542664577)","(273, 0.12065453521965)","(65, 0.10789007259505902)"
"(329, 0.12838125953130758)","(444, 0.13171962252830252)","(546, 0.12408818241330923)","(544, 0.1263593603680663)","(552, 0.0777687764995096)","(20, 0.061638895008804984)","(228, 0.11342513917529909)","(665, 0.12254673573067733)","(652, 0.12065234269429435)","(146, 0.10783403897063806)"
"(230, 0.1281989520312767)","(461, 0.1317165485632044)","(227, 0.12408449420822287)","(644, 0.12602611330440455)","(399, 0.07761273090269921)","(517, 0.06163693792018783)","(679, 0.11337014707498433)","(410, 0.12250641113322253)","(446, 0.11990024041901001)","(434, 0.10781397825833215)"
"(148, 0.12803794262438703)","(660, 0.13164150073237574)","(49, 0.12405731665245863)","(443, 0.12594642549782162)","(206, 0.07755410882127602)","(609, 0.061502193607146316)","(572, 0.1133653180598276)","(478, 0.12240183772889358)","(37, 0.11975926421977538)","(179, 0.1077201525230863)"
"(189, 0.12803245676692532)","(558, 0.13162862575896303)","(3, 0.1239033678679612)","(207, 0.12580200939735295)","(478, 0.07754638360217679)","(606, 0.0613858886093581)","(85, 0.11334334735130855)","(667, 0.12226108716683436)","(624, 0.11938006484471833)","(187, 0.10765003538451674)"
"(312, 0.127735267171734)","(292, 0.13154390930752483)","(533, 0.12377191678026614)","(558, 0.12556748188861958)","(154, 0.07749613780534356)","(63, 0.06137992781660447)","(146, 0.1132595795920212)","(645, 0.12223009443591713)","(479, 0.11930646034199265)","(193, 0.10749556640032133)"
"(231, 0.1277051588978733)","(64, 0.13141837544612278)","(6, 0.12348716987136624)","(397, 0.12544990786391805)","(672, 0.07729331983959457)","(612, 0.061274770459711796)","(670, 0.11320383849800268)","(661, 0.1218967098867449)","(445, 0.11927486039092988)","(410, 0.10699124402921531)"
"(120, 0.12758540545415362)","(134, 0.13139084533687273)","(274, 0.12342675505845656)","(587, 0.12519772075174246)","(548, 0.07720863612975556)","(480, 0.06124365463415527)","(291, 0.1130557610970952)","(476, 0.12173324543494077)","(597, 0.11926786263991969)","(28, 0.10697487873522969)"
"(88, 0.1275400533806459)","(438, 0.13129160444400706)","(495, 0.1232582361007525)","(536, 0.1251238290085753)","(463, 0.07714738703954216)","(679, 0.06114921724459134)","(457, 0.11302662273630121)","(662, 0.12147525698734518)","(594, 0.11924133683066651)","(303, 0.10666657821293188)"
"(145, 0.12752450178466135)","(421, 0.13127487970602159)","(664, 0.12298837842327563)","(605, 0.12499437674046773)","(435, 0.07703822629325438)","(61, 0.06109663031346389)","(138, 0.11285165463747544)","(480, 0.12144031237072223)","(6, 0.1188567092685416)","(308, 0.10650194296747492)"
"(489, 0.1275182250761185)","(497, 0.13103311030046624)","(509, 0.12290955235831791)","(445, 0.12490817164875194)","(678, 0.07682087438495357)","(418, 0.06104537542077082)","(386, 0.11279397500372093)","(647, 0.12130800241663132)","(324, 0.11879468423725988)","(188, 0.1063450286542069)"
"(326, 0.12720956232911232)","(456, 0.1309640307891812)","(57, 0.12251763971926839)","(489, 0.12487035656216569)","(445, 0.0767910421775505)","(671, 0.06103589278333552)","(177, 0.11267735042827261)","(77, 0.12122435523785127)","(74, 0.11873259025599674)","(229, 0.10609541387620948)"
"(244, 0.127156980610442)","(151, 0.13063527879044487)","(179, 0.12237560990234025)","(126, 0.12473584752851424)","(425, 0.07675527640087872)","(603, 0.0610170367975261)","(115, 0.1124762992662914)","(560, 0.12120848321801005)","(114, 0.1185708185704544)","(326, 0.10587166021424571)"
"(494, 0.12698879421242393)","(126, 0.13030926202634663)","(128, 0.12231085626785135)","(137, 0.12422803006084308)","(59, 0.0766259745253956)","(599, 0.06100376228837152)","(35, 0.11237137303663847)","(164, 0.12107782934758148)","(653, 0.11846346716681642)","(124, 0.1058421388664077)"
"(531, 0.1269699816481282)","(398, 0.13027336781482088)","(308, 0.12229133992353486)","(617, 0.12420772352095442)","(624, 0.07653055726788024)","(274, 0.06098369912219524)","(318, 0.1123342703326629)","(505, 0.12081978052801455)","(176, 0.11844342337580462)","(276, 0.10582177595500955)"
"(72, 0.12694512912152936)","(129, 0.13023318366920295)","(582, 0.12218219490348904)","(616, 0.12415470156972823)","(64, 0.07633596811293471)","(88, 0.06098260048280533)","(158, 0.11213824711975438)","(117, 0.1207939924449759)","(660, 0.11833072520434526)","(176, 0.10577301981431028)"
"(147, 0.1268398677133745)","(318, 0.1301861798288027)","(292, 0.12177355883620235)","(584, 0.12407213852033232)","(110, 0.07559954921479534)","(497, 0.06097561794131738)","(303, 0.11208738166150924)","(291, 0.12079053159762201)","(43, 0.1182826063120948)","(114, 0.10571170833740148)"
"(6, 0.12670174209468502)","(556, 0.1300763438680075)","(203, 0.12175851721621749)","(393, 0.12404344344303476)","(134, 0.07550814613415639)","(94, 0.060965580402969205)","(607, 0.11201003635566054)","(425, 0.120651549903907)","(482, 0.11826943501425764)","(168, 0.10566511493321512)"
"(530, 0.12666089955355303)","(53, 0.129892443122329)","(496, 0.12173810128815989)","(660, 0.12380075923734135)","(177, 0.07545448516166085)","(661, 0.06091918438635594)","(247, 0.11190483954588444)","(180, 0.12035440761715857)","(475, 0.11795268999984385)","(204, 0.1055873262824325)"
"(504, 0.12641004853612522)","(561, 0.12974002691387787)","(595, 0.12170589553139044)","(141, 0.12373378696976585)","(619, 0.07524456398825607)","(558, 0.06084779068164478)","(123, 0.11186126723234868)","(543, 0.12031686619582695)","(582, 0.1178697101366255)","(485, 0.10545730742016134)"
"(551, 0.12637972642640938)","(424, 0.1295325386889831)","(630, 0.12166090961494049)","(490, 0.12369288371092668)","(621, 0.0749063158861953)","(462, 0.060815195993343174)","(21, 0.11178766729308591)","(290, 0.12022755636586774)","(128, 0.11783907140335972)","(177, 0.10529775270894338)"
"(310, 0.12632719131890682)","(555, 0.12947969269759738)","(492, 0.12161414549197695)","(571, 0.12357203426782248)","(606, 0.07470475924261784)","(643, 0.060792594436719576)","(399, 0.11174695417709445)","(166, 0.12005701752157875)","(628, 0.11774553294312706)","(611, 0.10527248076158695)"
"(585, 0.1257177519121518)","(604, 0.12913569703450398)","(631, 0.12157814812144249)","(72, 0.12356399467470691)","(632, 0.07467499520977312)","(62, 0.060770062626688964)","(81, 0.11174211631743579)","(561, 0.11995548116007575)","(593, 0.11760473958299027)","(459, 0.10509574418478496)"
"(212, 0.1256083460965443)","(599, 0.12904473348817855)","(539, 0.1215146093523857)","(191, 0.12355176622505722)","(627, 0.07443400971106114)","(532, 0.060679915889233056)","(385, 0.11170982302469895)","(109, 0.11993819107677074)","(627, 0.11740232115853298)","(143, 0.1050017934803148)"
"(591, 0.12560743672982536)","(467, 0.1290315753200978)","(421, 0.12142844145309566)","(125, 0.12354230019797464)","(641, 0.0743451552310937)","(313, 0.06066205193707463)","(634, 0.11156708145149985)","(328, 0.11979640793393385)","(179, 0.11727355941391687)","(9, 0.10499463321483504)"
"(86, 0.12545187060703353)","(394, 0.12876191653186533)","(632, 0.12137349450434136)","(143, 0.12348910377051872)","(208, 0.07430270131561026)","(395, 0.06060649046605718)","(89, 0.11148314958713378)","(649, 0.11974736848654184)","(604, 0.11695691064906695)","(435, 0.10480339517891751)"
"(545, 0.12525667121950268)","(564, 0.1286539790430186)","(642, 0.12111140669012652)","(578, 0.12334392822027962)","(145, 0.07419373989072217)","(162, 0.06056397273844618)","(79, 0.11138981004268507)","(29, 0.1197271946266493)","(675, 0.11694133751240511)","(440, 0.10454620061987922)"
"(619, 0.12518055554940327)","(124, 0.12861798540474081)","(426, 0.1211104006217022)","(117, 0.1232790528741058)","(681, 0.07413177080538148)","(40, 0.060554736840608685)","(76, 0.11129847279275278)","(168, 0.11971211699607062)","(107, 0.11684396760097009)","(417, 0.10436650911844945)"
"(203, 0.12518033034758863)","(229, 0.12855310412979068)","(604, 0.12100427622453834)","(49, 0.12314204626169548)","(631, 0.07411925625671575)","(507, 0.06049953461819884)","(313, 0.11128308524283188)","(167, 0.1196749698845442)","(242, 0.11666812552889538)","(599, 0.10426437123334471)"
"(186, 0.1251291488430423)","(35, 0.12849452978359965)","(197, 0.12083802728007767)","(169, 0.12306780569424103)","(628, 0.07411613834541987)","(651, 0.060459961678860974)","(134, 0.11120819139723528)","(161, 0.11951025826358377)","(426, 0.11663023872993121)","(167, 0.10413912674987999)"
"(292, 0.12510827540930683)","(562, 0.1281179950704737)","(307, 0.12078742416428676)","(528, 0.12290230994356398)","(582, 0.0738994505416124)","(565, 0.06039560489202692)","(13, 0.11114638123616086)","(70, 0.11944133614133928)","(492, 0.11662543530607875)","(183, 0.1039737184940793)"
"(552, 0.1249961521719283)","(393, 0.12796312911238183)","(628, 0.12077147123666371)","(228, 0.12285997821665597)","(28, 0.07352473985987268)","(456, 0.06037449854287905)","(302, 0.11107328071240599)","(65, 0.11927096493470173)","(46, 0.1164358113481744)","(70, 0.10348303959639826)"
"(548, 0.12496559713009459)","(301, 0.12790043980668128)","(592, 0.12075848301394262)","(548, 0.12276133516444823)","(457, 0.07347042584040667)","(635, 0.060366876413652654)","(77, 0.11094086356301452)","(601, 0.11926470773529195)","(631, 0.11634565053194613)","(69, 0.10343737483483713)"
"(590, 0.1249384289146715)","(2, 0.12759531154460046)","(107, 0.12061932215635388)","(612, 0.12267061431075867)","(204, 0.07331342298317219)","(31, 0.060351753854860954)","(565, 0.1107635222975869)","(587, 0.11921519807373286)","(632, 0.11609940396745295)","(473, 0.10316242794840974)"
"(546, 0.12485149429617179)","(74, 0.1275242899272215)","(54, 0.12056038080021189)","(183, 0.1226593298943391)","(313, 0.07312187182990126)","(302, 0.06033327728279218)","(273, 0.11057925137711379)","(574, 0.11903517752521674)","(277, 0.115900693305145)","(158, 0.10284525407602058)"
"(128, 0.12483846565025182)","(187, 0.12745649158060074)","(627, 0.12047775187340108)","(573, 0.12264339669580834)","(104, 0.07311699078698478)","(585, 0.06031999007081499)","(447, 0.11046522124245754)","(323, 0.11898554292486588)","(31, 0.1154822272603516)","(331, 0.10256527482156132)"
"(465, 0.12466871457144989)","(509, 0.12736629451078427)","(540, 0.12046057212039142)","(159, 0.12240622529454748)","(461, 0.07275278502640739)","(139, 0.06025174738625747)","(221, 0.11043018059505293)","(128, 0.11892211071895699)","(207, 0.11493014579746895)","(41, 0.10228738658616757)"
"(154, 0.12406401728611874)","(578, 0.12710325246908535)","(541, 0.1203939383928723)","(295, 0.12236717706665284)","(132, 0.07273151964169922)","(36, 0.0601463791870075)","(167, 0.11042585636654188)","(37, 0.1185791141639597)","(307, 0.114618097393438)","(300, 0.10220453927629022)"
"(295, 0.12387102786436567)","(107, 0.12699296191403336)","(209, 0.1203895011434971)","(227, 0.1222367315026198)","(444, 0.0726188303473445)","(551, 0.05995619105087997)","(606, 0.11040582823059943)","(149, 0.11855062182579479)","(308, 0.11461712736861986)","(97, 0.10217609962106396)"
"(127, 0.12366846077969107)","(183, 0.1269231300437209)","(662, 0.1201081395721791)","(608, 0.1220561980491581)","(189, 0.07249110404596167)","(657, 0.0599218827641362)","(651, 0.11028295674716719)","(571, 0.1183249860085181)","(585, 0.11458538591492935)","(126, 0.10211087611384108)"
"(460, 0.12335308258452726)","(63, 0.12676845930801087)","(641, 0.11989159619092381)","(3, 0.12199759475036062)","(596, 0.07234163139299145)","(465, 0.059914174746872495)","(418, 0.1101529828871223)","(482, 0.11814770856597683)","(148, 0.1145585600889732)","(219, 0.10193461648707804)"
"(582, 0.12322601004360106)","(70, 0.1267431954495063)","(542, 0.11980693363264484)","(488, 0.12199322929821768)","(586, 0.07234148588236108)","(652, 0.05990763190900064)","(193, 0.11009313042915933)","(189, 0.11813861441645097)","(581, 0.11443159653248494)","(73, 0.10187411877469368)"
"(470, 0.12318713168840802)","(242, 0.12641214233704373)","(520, 0.11976261757964698)","(278, 0.12190666589745054)","(228, 0.07223724406219738)","(452, 0.059828308249171805)","(69, 0.11002017076867787)","(41, 0.1180353091599024)","(486, 0.1143977759266598)","(330, 0.10152983495725927)"
"(117, 0.1231049662246137)","(77, 0.12605453773322067)","(591, 0.11966430095231499)","(620, 0.12187146556511977)","(168, 0.07214457025395801)","(618, 0.05980489201678489)","(646, 0.1098283214399008)","(386, 0.11770042450459647)","(485, 0.11432182593312103)","(44, 0.10129354602980876)"
"(444, 0.12308635112440752)","(568, 0.1259152055487932)","(148, 0.11956712206265693)","(147, 0.12168588825836063)","(20, 0.07192965142116295)","(199, 0.05973220647124166)","(407, 0.1096275031012834)","(426, 0.11733150886226679)","(560, 0.11423498047356302)","(439, 0.10112118966518266)"
"(524, 0.12282246478873661)","(639, 0.12583976417513973)","(64, 0.11952967975515516)","(274, 0.12157279737979265)","(218, 0.07187225619231641)","(646, 0.0596955781852728)","(204, 0.10949939760525311)","(585, 0.11726131219798089)","(598, 0.11409838626081076)","(275, 0.10105675056528851)"
"(173, 0.12248023061614378)","(76, 0.12573830622414786)","(598, 0.11940442668680212)","(545, 0.12156029799291666)","(80, 0.07132004853320749)","(495, 0.059554367273918205)","(423, 0.10947994264247433)","(675, 0.11713407890202544)","(274, 0.11401719201785011)","(38, 0.10082812712887236)"
"(134, 0.1224519700792554)","(309, 0.1254811696944605)","(581, 0.11935588703653896)","(546, 0.12151917190242327)","(105, 0.07119197171087005)","(647, 0.059459449504249876)","(647, 0.10945988314309658)","(301, 0.1169970388243209)","(671, 0.11392967107522076)","(625, 0.10075658372178165)"
"(64, 0.12212448400501891)","(504, 0.12533488160262857)","(35, 0.1191784362608414)","(330, 0.12150321001788464)","(556, 0.07116009424036215)","(45, 0.05942591831250911)","(463, 0.10908847670059371)","(424, 0.116720776835407)","(85, 0.11334333983901992)","(149, 0.10045720014546435)"
"(306, 0.12211006367038693)","(505, 0.12530124229831632)","(230, 0.11899799523095289)","(145, 0.12123793487312165)","(605, 0.07113067415321343)","(656, 0.05936960916162848)","(438, 0.10883351780304001)","(126, 0.11657692128392817)","(146, 0.11325957718753922)","(248, 0.10021529317487278)"
"(395, 0.12203167353817647)","(120, 0.12518813334596784)","(85, 0.1188624198279365)","(42, 0.12121052582424326)","(144, 0.0711205329540908)","(321, 0.05932642191528487)","(131, 0.10832314255035634)","(116, 0.11621818791887881)","(670, 0.11320383765435311)","(197, 0.1002070948475445)"
"(29, 0.12199793908795588)","(531, 0.12495219661361351)","(162, 0.11862002226843076)","(219, 0.12115333478368888)","(664, 0.07101114875491671)","(552, 0.0593161051367124)","(478, 0.1081933045289951)","(638, 0.11621544978403495)","(21, 0.1131791772021876)","(131, 0.10013151446955378)"
"(556, 0.12170012786561075)","(530, 0.12469510855125229)","(645, 0.11861951048245789)","(88, 0.12081897457115015)","(666, 0.0707440828384693)","(332, 0.0593125693228017)","(206, 0.10803096603263253)","(620, 0.11618671744946071)","(263, 0.11317587703482927)","(478, 0.10011374614437715)"
"(327, 0.12165378261251875)","(111, 0.12374692730307468)","(4, 0.1185387504027647)","(80, 0.12074061488261846)","(599, 0.07066047710264764)","(186, 0.059261745780054186)","(666, 0.10801447681325191)","(650, 0.11612651047908111)","(457, 0.11302662079180657)","(162, 0.10008386432330736)"
"(133, 0.1215545494970797)","(402, 0.12360833606957125)","(231, 0.11847100352348974)","(509, 0.12066599675683189)","(304, 0.07061611557697162)","(125, 0.05919935226334686)","(229, 0.10798616820984124)","(157, 0.11608214581193115)","(23, 0.11302109675607767)","(196, 0.10008153926452663)"
"(648, 0.12139676906914028)","(122, 0.12314340653896388)","(459, 0.1181478756322155)","(93, 0.1205748173076283)","(278, 0.07045656926656758)","(174, 0.05918749764004456)","(633, 0.10776976085101356)","(133, 0.1159154875296753)","(386, 0.1127939736950976)","(128, 0.10003807191389064)"
"(20, 0.12110942016376876)","(571, 0.12304663336453149)","(21, 0.11801640833194288)","(398, 0.1201707717951312)","(426, 0.06989443108498133)","(664, 0.05914518193411737)","(7, 0.10774626490627111)","(656, 0.11543620710292606)","(295, 0.11273889241531719)","(121, 0.09998526996139216)"
"(599, 0.1209176902661155)","(123, 0.1228349953022881)","(585, 0.11799689433656621)","(495, 0.12002203387080969)","(397, 0.06988395027789047)","(675, 0.05913828222827075)","(532, 0.10771375436690285)","(120, 0.11526965698864347)","(115, 0.11247629646269983)","(32, 0.09995672252837234)"
"(578, 0.12034658647625082)","(144, 0.12274302809176828)","(324, 0.11732696394723637)","(533, 0.11992072824915669)","(76, 0.06983174900989386)","(654, 0.05913170696068678)","(129, 0.10769775158160354)","(504, 0.11513923986036322)","(162, 0.11226927229257382)","(287, 0.0999304407677664)"
"(319, 0.11984146464555398)","(422, 0.1225742904579027)","(201, 0.11714223085723822)","(67, 0.11966078376728574)","(625, 0.0695741915077438)","(149, 0.059120449239702104)","(448, 0.10767621947418758)","(518, 0.11504498578646846)","(306, 0.11222876010672399)","(221, 0.09991000366394298)"
