Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10
"(400, 0.14532124603432167)","(27, 0.14311835098672154)","(666, 0.13615011218001358)","(622, 0.13937539561567627)","(420, 0.0939215534794813)","(477, 0.06882877257981061)","(151, 0.1295979306505215)","(614, 0.13646059411468806)","(538, 0.13535280177548292)","(642, 0.1278724972464032)"
"(141, 0.14525145703152667)","(457, 0.143101300203412)","(13, 0.13604196035489222)","(86, 0.1393270685963113)","(220, 0.09391517277678675)","(35, 0.06872888897759744)","(539, 0.12958082857821288)","(524, 0.13633342979124036)","(679, 0.13531850390095557)","(675, 0.1277069141681113)"
"(234, 0.14521913981763937)","(427, 0.14298930789378778)","(565, 0.13554469167817274)","(475, 0.1383359142388674)","(19, 0.09355434620828)","(168, 0.06863393894418494)","(623, 0.12955220826849487)","(530, 0.13591317947509693)","(190, 0.1351475406041021)","(533, 0.12752726347274207)"
"(176, 0.1450681216512648)","(533, 0.14290734280659648)","(462, 0.13551333334988144)","(75, 0.13792951325391237)","(63, 0.09351538982882136)","(421, 0.06829767960489236)","(578, 0.12893694852846888)","(531, 0.13585359251484927)","(591, 0.1350648999926204)","(17, 0.1273319612086379)"
"(653, 0.14497067696162166)","(674, 0.14276181910181032)","(519, 0.135244136409765)","(473, 0.13783130827411125)","(561, 0.0935067011040742)","(412, 0.06827615950370086)","(41, 0.1289250783514145)","(322, 0.13560455877056796)","(428, 0.13492040908755576)","(190, 0.1270073113489345)"
"(519, 0.14493091538966463)","(482, 0.1426136286709271)","(87, 0.1351189955348795)","(15, 0.13778337259152315)","(640, 0.09319137854243506)","(393, 0.06816646431966907)","(133, 0.12871754224433982)","(613, 0.13550524116991808)","(500, 0.13491843120018734)","(559, 0.1270044330153205)"
"(674, 0.14439210031898242)","(605, 0.14259103440983573)","(189, 0.13507262291277342)","(477, 0.13768022564474897)","(469, 0.09293665660010329)","(583, 0.06814382058754559)","(87, 0.12865502181181912)","(80, 0.13545646766822358)","(470, 0.1342198533379983)","(66, 0.1269251872389696)"
"(422, 0.14434002759820627)","(170, 0.14257617916564844)","(651, 0.13490260860278433)","(181, 0.1374766369842807)","(84, 0.09291032300606053)","(628, 0.06808500950108687)","(626, 0.1284816431870387)","(535, 0.13524130219579455)","(185, 0.13380400354443442)","(463, 0.12663751139013976)"
"(621, 0.1443306427995445)","(592, 0.14249055441637862)","(299, 0.13469231971688403)","(606, 0.13747135365916868)","(41, 0.09288996932312255)","(520, 0.0680619934331259)","(109, 0.12814203927241347)","(465, 0.13493715678934604)","(83, 0.13345719415083576)","(466, 0.1265793598400297)"
"(61, 0.14422013493245925)","(428, 0.14202566504815767)","(298, 0.1346606426713305)","(302, 0.13743205171931308)","(500, 0.09213712082006531)","(627, 0.06798029855806084)","(243, 0.12798739088563243)","(583, 0.13492953427588875)","(256, 0.13339866842437736)","(50, 0.12654558606181915)"
"(466, 0.1441149782781913)","(528, 0.14177299987098693)","(413, 0.13455559584521226)","(532, 0.13733846038759595)","(516, 0.09202594529366374)","(670, 0.06784943330380047)","(220, 0.12758008361490542)","(582, 0.13470777099558673)","(16, 0.1333643434061941)","(612, 0.12640136398409982)"
"(626, 0.14384187720506242)","(237, 0.141759599424638)","(456, 0.1345432789623276)","(244, 0.13729200986916087)","(331, 0.09193985708821327)","(392, 0.06784720727201315)","(237, 0.12749741073753945)","(562, 0.13462565195947324)","(154, 0.13322907096702072)","(550, 0.12627279781175463)"
"(516, 0.1434806837407674)","(516, 0.14173672051030844)","(53, 0.13401653186301007)","(303, 0.13715295594009802)","(428, 0.09190478010929728)","(217, 0.06774234390977883)","(331, 0.12734321822082884)","(522, 0.1346248074622969)","(184, 0.13125986528341865)","(86, 0.12606093850873656)"
"(57, 0.14306348332778604)","(643, 0.14171377176862135)","(537, 0.13383404118248457)","(291, 0.13698939489614548)","(433, 0.09157299340805843)","(184, 0.06762640404669214)","(165, 0.1271743839220884)","(313, 0.13459517248969588)","(189, 0.13120721895304074)","(577, 0.12601304022976273)"
"(139, 0.14270729281750014)","(492, 0.14163103240586017)","(467, 0.133779311438972)","(538, 0.13684811556405513)","(224, 0.09151329557536879)","(499, 0.06740132965433523)","(71, 0.12695061850204462)","(536, 0.1345101765366772)","(69, 0.13073795398046728)","(445, 0.12525247514715418)"
"(498, 0.1425874288162145)","(185, 0.1416031456154079)","(27, 0.13377475880429227)","(581, 0.13680652937538026)","(504, 0.09144535377059172)","(300, 0.06735650876734794)","(563, 0.12649754144978487)","(121, 0.13445904505782957)","(66, 0.13071128792122128)","(618, 0.12495736894868445)"
