Topic-1,Topic-2,Topic-3,Topic-4,Topic-5
"(623, 0.10185121478974626)","(162, 0.0)","(589, 0.039432382716845425)","(70, 0.06193381733719845)","(556, 0.07368631347899426)"
"(643, 0.10177352363810924)","(163, 0.0)","(113, 0.0392093011883811)","(58, 0.061834462834503376)","(427, 0.07359335075019693)"
"(642, 0.10150272912648443)","(165, 0.0)","(487, 0.03864947835472553)","(96, 0.06168402300083643)","(222, 0.07350316584964592)"
"(277, 0.10106292313361845)","(166, 0.0)","(598, 0.03823534028727632)","(495, 0.06156388624577134)","(494, 0.07340994057496077)"
"(276, 0.10100783471609336)","(167, 0.0)","(159, 0.03806202161139763)","(71, 0.06068924036024356)","(495, 0.07329334653530213)"
"(539, 0.10089274377428031)","(168, 0.0)","(425, 0.03765218526682019)","(490, 0.06012792752236831)","(271, 0.07325165235132518)"
"(278, 0.10077272768779917)","(169, 0.0)","(574, 0.03731052862372276)","(504, 0.05999127589029873)","(64, 0.07305206436615831)"
"(287, 0.10045043547937499)","(17, 0.0)","(324, 0.03668881055676418)","(123, 0.05990673603298767)","(184, 0.07298898694591088)"
"(279, 0.10033273923756347)","(170, 0.0)","(458, 0.0365177145569674)","(610, 0.05905657951791344)","(128, 0.0728434681025484)"
"(641, 0.10028975931797485)","(173, 0.0)","(443, 0.0364834877383202)","(611, 0.05695472275703661)","(26, 0.07276408161210945)"
"(261, 0.10012501626888408)","(174, 0.0)","(155, 0.03623087537403936)","(297, 0.056774982098757906)","(155, 0.07275677029184734)"
"(664, 0.09935925798730563)","(175, 0.0)","(584, 0.036101837968348524)","(577, 0.05549706092923606)","(565, 0.07259713911785987)"
"(666, 0.099354343644191)","(176, 0.0)","(585, 0.03609900338720932)","(443, 0.05537583958119134)","(508, 0.07253519113439713)"
"(665, 0.0993483979908997)","(177, 0.0)","(583, 0.03609134387365408)","(300, 0.054574880460100464)","(523, 0.07244418322354387)"
"(285, 0.09872146480129337)","(178, 0.0)","(457, 0.035749842758784296)","(140, 0.05437046272953553)","(300, 0.07236280793086275)"
"(596, 0.09855387477889872)","(179, 0.0)","(184, 0.03552890013937144)","(76, 0.05431800058933973)","(41, 0.07228473522270878)"
"(651, 0.0981433099091605)","(18, 0.0)","(578, 0.0353245722822528)","(510, 0.054079388130948695)","(256, 0.07207367836510521)"
"(674, 0.09789138602030348)","(180, 0.0)","(407, 0.03528837487468072)","(155, 0.05398019659642156)","(422, 0.07205816770283148)"
"(273, 0.09758698725350122)","(181, 0.0)","(573, 0.035120523232242185)","(456, 0.05388213768984591)","(500, 0.07195302251992274)"
"(26, 0.09752980397838718)","(182, 0.0)","(439, 0.03510188455652702)","(457, 0.0532569362038784)","(621, 0.07151709446327945)"
"(134, 0.09744860350876192)","(183, 0.0)","(426, 0.035058133092758716)","(124, 0.05294505399754058)","(488, 0.07147493441794703)"
"(123, 0.0971880327079175)","(184, 0.0)","(444, 0.034970694750693455)","(131, 0.05277725069510898)","(89, 0.07143080192078642)"
"(230, 0.09692673006528753)","(186, 0.0)","(271, 0.034556901769334396)","(470, 0.052719361443551174)","(59, 0.07138766262065036)"
"(272, 0.09670363759426645)","(201, 0.0)","(571, 0.03437152691447239)","(309, 0.0526161030261296)","(244, 0.0710788423248312)"
"(675, 0.09635578917829572)","(208, 0.0)","(539, 0.03427012993492915)","(444, 0.052469412823919266)","(188, 0.0709376661199136)"
"(271, 0.0958046364733266)","(209, 0.0)","(309, 0.03424038647995478)","(308, 0.052279609515466265)","(650, 0.07091493510053908)"
"(620, 0.09523249018754912)","(21, 0.0)","(277, 0.03421430885159468)","(645, 0.05208237081300207)","(597, 0.07091179826377947)"
"(124, 0.09508875050390286)","(212, 0.0)","(456, 0.034207462016360386)","(516, 0.05203749782163308)","(65, 0.07085115299645348)"
"(130, 0.09494575496101353)","(215, 0.0)","(433, 0.034113976014899405)","(452, 0.052026611553769773)","(649, 0.07078919083177379)"
"(234, 0.09409656776304055)","(216, 0.0)","(438, 0.034083235156573105)","(45, 0.051983803340845486)","(44, 0.07078266032566237)"
"(586, 0.09402065747198708)","(217, 0.0)","(276, 0.03402375445231423)","(125, 0.05164501639497144)","(309, 0.07066462483848515)"
"(126, 0.09315494186422948)","(218, 0.0)","(428, 0.03398335723047657)","(12, 0.05137529240647537)","(268, 0.07056868720050383)"
"(585, 0.09294113319609726)","(22, 0.0)","(440, 0.03397572995708796)","(469, 0.05136357274063392)","(27, 0.07034440804280451)"
"(105, 0.09240933906436398)","(224, 0.0)","(626, 0.03392034075686586)","(14, 0.05082920996330519)","(503, 0.07029755319912526)"
"(571, 0.09180907130994455)","(229, 0.0)","(278, 0.03385964240317)","(304, 0.05071039454562863)","(293, 0.07026973871393943)"
"(8, 0.09170901546574037)","(23, 0.0)","(308, 0.03381401986341775)","(134, 0.050389572143134435)","(308, 0.0702155608156122)"
"(582, 0.09108120849596216)","(231, 0.0)","(140, 0.03372946754284091)","(652, 0.05011684305520501)","(114, 0.07017189880173458)"
"(179, 0.09077737355641197)","(233, 0.0)","(279, 0.03367592933580681)","(148, 0.049497463803962645)","(681, 0.06999205178407224)"
"(636, 0.0903683746332093)","(237, 0.0)","(472, 0.033585244506407805)","(461, 0.04924557212235928)","(589, 0.06996279006850809)"
"(155, 0.08999168646770764)","(24, 0.0)","(36, 0.03352038684481231)","(307, 0.04920504272264262)","(90, 0.06983267337719365)"
"(275, 0.08929001105403532)","(240, 0.0)","(33, 0.03338963216130298)","(445, 0.04919772065431031)","(304, 0.06981612559744056)"
"(178, 0.08894738410503739)","(242, 0.0)","(161, 0.03335288451039133)","(462, 0.04918083086755103)","(583, 0.06960041017138659)"
"(274, 0.08880845541432311)","(243, 0.0)","(31, 0.03332436829446152)","(446, 0.04913214660051367)","(640, 0.06933878386215067)"
"(644, 0.0887617192534035)","(244, 0.0)","(470, 0.033025830121537356)","(465, 0.049087757844465674)","(207, 0.06914488405698956)"
"(595, 0.08867316867632934)","(245, 0.0)","(290, 0.0329456572829324)","(447, 0.04904899661596007)","(464, 0.06885026624152331)"
"(158, 0.08846894868634783)","(247, 0.0)","(30, 0.03294168842837104)","(129, 0.04900834828536967)","(275, 0.06838457136891245)"
"(578, 0.08798678374204952)","(248, 0.0)","(43, 0.0327721586147818)","(487, 0.04847195008661147)","(522, 0.06838400718748676)"
"(594, 0.08787746730772845)","(25, 0.0)","(18, 0.03268153191447689)","(30, 0.04816297198886328)","(593, 0.06832695769623995)"
"(58, 0.08766146526074811)","(250, 0.0)","(233, 0.032559439960147284)","(73, 0.04784385037114234)","(277, 0.06823794708590565)"
"(169, 0.08756403224936314)","(251, 0.0)","(471, 0.03254495952328164)","(204, 0.04762046154147449)","(276, 0.06801800223864533)"
"(307, 0.08689862771603991)","(252, 0.0)","(445, 0.03242379309224532)","(147, 0.04718322683984548)","(614, 0.06797768894833145)"
"(640, 0.08689011594171515)","(253, 0.0)","(167, 0.032413157940909224)","(459, 0.04711904841461926)","(279, 0.0678569985697959)"
"(597, 0.08680568642908282)","(256, 0.0)","(420, 0.032400664846979885)","(126, 0.046877944768600896)","(278, 0.06779525982159966)"
"(188, 0.08661138065447023)","(26, 0.0)","(272, 0.03238070459127404)","(113, 0.04674946359470104)","(536, 0.0673970245973541)"
"(131, 0.08623938560735485)","(261, 0.0)","(446, 0.032346156089712225)","(165, 0.04671696950001784)","(29, 0.06715270274088897)"
"(160, 0.08526554090062863)","(263, 0.0)","(465, 0.0323428443146777)","(159, 0.046486744781339726)","(274, 0.06713670944898532)"
"(219, 0.08505987308812656)","(267, 0.0)","(42, 0.032316564849525414)","(298, 0.04623019470311199)","(613, 0.06712467245757281)"
"(617, 0.08482203109322992)","(268, 0.0)","(447, 0.03225750154375171)","(458, 0.04583259784912595)","(439, 0.0670026028831243)"
"(654, 0.0846122812861676)","(27, 0.0)","(199, 0.032050006151440304)","(21, 0.045435707978806486)","(612, 0.06687684216834162)"
"(170, 0.084290088211304)","(270, 0.0)","(300, 0.03203194094271644)","(471, 0.04515285253537563)","(273, 0.06686699446230748)"
"(54, 0.08333021314084901)","(271, 0.0)","(273, 0.032004579441575164)","(460, 0.04498510867988333)","(491, 0.06664922048385272)"
"(121, 0.08297148515041863)","(272, 0.0)","(287, 0.0319349787275949)","(46, 0.04488159059391596)","(62, 0.0665535180065715)"
"(655, 0.08266108248966687)","(273, 0.0)","(274, 0.03176962052962378)","(603, 0.04477982789076478)","(639, 0.0665287970561265)"
"(132, 0.08220454154624324)","(274, 0.0)","(44, 0.03173461011439951)","(72, 0.04459674324284764)","(272, 0.0664673483810324)"
"(583, 0.08205843656182978)","(275, 0.0)","(460, 0.03171279223935953)","(167, 0.0442695488654191)","(181, 0.06640082651615062)"
"(104, 0.08199708793626487)","(276, 0.0)","(46, 0.031692940748726445)","(466, 0.04414697864743241)","(310, 0.06626511543640061)"
"(327, 0.08181125449909281)","(277, 0.0)","(15, 0.03161365416959051)","(604, 0.04383447487813323)","(631, 0.06623122577178338)"
"(127, 0.08153113401772638)","(278, 0.0)","(652, 0.031532977851018995)","(13, 0.043834038878147144)","(164, 0.0662072231581712)"
"(253, 0.0809395737359294)","(279, 0.0)","(45, 0.03145324671595164)","(192, 0.04357173009281872)","(492, 0.06612640357096311)"
"(318, 0.07887312595250819)","(28, 0.0)","(452, 0.03143494117435915)","(472, 0.04357134867581871)","(139, 0.0660941201234323)"
"(661, 0.07797246330989813)","(285, 0.0)","(569, 0.03130533592352217)","(169, 0.043411897890217356)","(417, 0.06594071200681718)"
"(125, 0.0776389353720316)","(287, 0.0)","(148, 0.03126796051449544)","(605, 0.043347772696132686)","(539, 0.06588317801561538)"
"(163, 0.07760249070999786)","(29, 0.0)","(469, 0.03111774266075647)","(150, 0.04316403851982954)","(646, 0.06576795798578064)"
"(133, 0.07748311847375652)","(290, 0.0)","(461, 0.031110539737341937)","(161, 0.04283703399977133)","(638, 0.06569217868421749)"
"(520, 0.07718734089965634)","(291, 0.0)","(462, 0.031104548952144803)","(468, 0.042644551588456675)","(76, 0.06557686252890775)"
"(1, 0.07583000228635843)","(292, 0.0)","(47, 0.031102649283455974)","(143, 0.0424850744712743)","(285, 0.0655144691428508)"
"(151, 0.0754669529482812)","(294, 0.0)","(143, 0.031101044933188115)","(139, 0.0421959637195419)","(418, 0.06546831458531605)"
"(598, 0.07516516195164388)","(295, 0.0)","(296, 0.031088640430533183)","(133, 0.042057548841504706)","(498, 0.06542644443066933)"
"(581, 0.07477897515294145)","(296, 0.0)","(57, 0.031057591571863486)","(145, 0.04180037716167735)","(97, 0.065371453647507)"
"(563, 0.07471976153706505)","(297, 0.0)","(392, 0.030981888769101282)","(598, 0.04161471715712513)","(535, 0.06536522119656964)"
"(626, 0.07433178772275659)","(298, 0.0)","(466, 0.03092963387512769)","(275, 0.041421461464828654)","(506, 0.06528436443043366)"
"(144, 0.07402766448338141)","(299, 0.0)","(275, 0.03088335296714638)","(583, 0.041090145684180346)","(153, 0.0651707035604184)"
"(263, 0.07323227552336986)","(3, 0.0)","(270, 0.03080552010116923)","(268, 0.04106457118651248)","(440, 0.06513693617746688)"
"(217, 0.07314613593121612)","(30, 0.0)","(292, 0.030595458111315567)","(27, 0.04099504063760979)","(534, 0.06504076056888233)"
"(143, 0.07295759212069257)","(300, 0.0)","(291, 0.030555323121649956)","(233, 0.04066231305916162)","(17, 0.06489058443646942)"
"(616, 0.07237490773576005)","(301, 0.0)","(510, 0.030546835366938512)","(560, 0.040399273337707174)","(497, 0.06478167568871322)"
"(532, 0.07221133890728723)","(302, 0.0)","(429, 0.030444230333618958)","(135, 0.04038078384598524)","(489, 0.06475114001765053)"
"(256, 0.07175421676878593)","(303, 0.0)","(388, 0.03041871762137182)","(144, 0.04027373791611294)","(231, 0.06466009866282538)"
"(147, 0.07149838402756847)","(304, 0.0)","(154, 0.03029306588732948)","(130, 0.0402678500825621)","(50, 0.06465783165033598)"
"(90, 0.07132751575387555)","(305, 0.0)","(285, 0.030278176059780573)","(617, 0.04013777393276744)","(428, 0.06461766820635817)"
"(292, 0.07101905498625513)","(306, 0.0)","(298, 0.03015696461525356)","(274, 0.04012484961444722)","(221, 0.06459244547595155)"
"(194, 0.07095923942615734)","(307, 0.0)","(599, 0.030156761983418812)","(36, 0.039843269792555)","(509, 0.06446391784260433)"
"(331, 0.07090611172927021)","(308, 0.0)","(124, 0.030011397178272635)","(122, 0.03952277862316504)","(189, 0.06443401305578124)"
"(128, 0.07078228763454907)","(309, 0.0)","(37, 0.029818713550111273)","(67, 0.039520819242402534)","(298, 0.06438504874999437)"
"(588, 0.07065975750426177)","(31, 0.0)","(20, 0.029747871416255952)","(302, 0.03951050050538051)","(112, 0.06434758828553394)"
"(291, 0.07063270420495905)","(310, 0.0)","(261, 0.029693970498329423)","(120, 0.03905366424124211)","(664, 0.0642999159653725)"
"(22, 0.07029329309923882)","(312, 0.0)","(310, 0.029541358924342044)","(317, 0.039023322096591546)","(665, 0.06417643686911063)"
"(663, 0.07018223467494493)","(313, 0.0)","(587, 0.029539861964238485)","(599, 0.03896392211124334)","(208, 0.06415946392780034)"
"(122, 0.0696413665872891)","(317, 0.0)","(128, 0.029530941032671704)","(234, 0.03886774906343334)","(666, 0.06407100623063502)"
"(120, 0.06921915240646173)","(318, 0.0)","(38, 0.02942126610879681)","(285, 0.03879260496052537)","(623, 0.06400829409494027)"
"(162, 0.06907612470223731)","(319, 0.0)","(565, 0.029394156773266678)","(31, 0.03877810300990728)","(183, 0.06395719160719134)"
"(96, 0.06891511291583806)","(32, 0.0)","(541, 0.02929424095741815)","(207, 0.038609677794057745)","(39, 0.06387462466422994)"
"(161, 0.06871474803901391)","(320, 0.0)","(183, 0.029137244510736637)","(660, 0.03849375769141757)","(185, 0.06385422313009281)"
"(173, 0.06852055918034466)","(321, 0.0)","(268, 0.029084973986420543)","(517, 0.03848306313493328)","(416, 0.06360107799380951)"
"(71, 0.06810927221527856)","(322, 0.0)","(581, 0.029005742851636207)","(181, 0.038477086491198194)","(248, 0.06350769634112814)"
"(28, 0.06791803732342996)","(323, 0.0)","(617, 0.028991300366354573)","(117, 0.03832135465965303)","(9, 0.06329201232326966)"
"(153, 0.06773057251085156)","(324, 0.0)","(165, 0.028971341538074707)","(6, 0.03819792576369629)","(290, 0.06313902881719356)"
"(599, 0.06759989171109362)","(325, 0.0)","(27, 0.028887846034792164)","(261, 0.03817727575596859)","(12, 0.06285161935186458)"
"(57, 0.06734625006995179)","(326, 0.0)","(413, 0.02886947267584464)","(66, 0.03811913103872821)","(250, 0.06280112834700453)"
"(116, 0.06666158636119734)","(328, 0.0)","(53, 0.028818203563838695)","(190, 0.03802449739084328)","(51, 0.06272791018292448)"
"(301, 0.0666363143006824)","(329, 0.0)","(547, 0.028777084915851056)","(222, 0.03783446542473155)","(108, 0.06271185523483717)"
"(615, 0.06613349430567692)","(330, 0.0)","(597, 0.02865873367071926)","(672, 0.037827189817231065)","(202, 0.06265043520822285)"
"(618, 0.0660195673974799)","(331, 0.0)","(6, 0.028609494035784007)","(132, 0.037737596391073304)","(252, 0.06259236171884047)"
"(149, 0.06578777950536602)","(332, 0.0)","(114, 0.028512116095436302)","(256, 0.03770588459714488)","(251, 0.062490941020644085)"
"(245, 0.06572562695189628)","(34, 0.0)","(467, 0.028511403398929793)","(581, 0.03766443028621358)","(15, 0.06247176324597649)"
"(6, 0.06546507639802407)","(35, 0.0)","(532, 0.028493762793152144)","(585, 0.037662369368960585)","(43, 0.06231520080005879)"
"(244, 0.06538008792397906)","(383, 0.0)","(406, 0.028330793936090636)","(116, 0.03756732570906401)","(87, 0.062299144921145286)"
"(129, 0.0648871128102533)","(384, 0.0)","(556, 0.02832599691098345)","(584, 0.03752383837413113)","(619, 0.062232637008870655)"
"(138, 0.0645478005221305)","(385, 0.0)","(389, 0.02827990714905448)","(174, 0.037471288083552226)","(93, 0.062121822273941134)"
"(579, 0.0640848700641925)","(386, 0.0)","(26, 0.028216514553774462)","(121, 0.03746785776781078)","(429, 0.06211238883673128)"
"(300, 0.06406794755732335)","(387, 0.0)","(400, 0.02814763915102361)","(188, 0.03743457216748204)","(166, 0.062003634814358666)"
"(240, 0.06394289408811638)","(388, 0.0)","(393, 0.02811555977361534)","(559, 0.03731340949588967)","(77, 0.061875578844173336)"
"(70, 0.06373720871404208)","(389, 0.0)","(394, 0.028066862700523318)","(463, 0.03727851070063761)","(86, 0.06173213573578245)"
"(242, 0.06324254796756218)","(39, 0.0)","(250, 0.02797397304203487)","(115, 0.03726893701802161)","(507, 0.061717506802810025)"
"(243, 0.06321476888371759)","(390, 0.0)","(546, 0.027944276759749056)","(26, 0.037057663094440356)","(92, 0.06164608340113884)"
"(29, 0.06302222451799132)","(391, 0.0)","(115, 0.02773611642050661)","(277, 0.037027173999806234)","(270, 0.06156798394633083)"
"(80, 0.06301373975248065)","(392, 0.0)","(580, 0.027704337748926913)","(294, 0.0370069654524729)","(4, 0.06153051900346625)"
"(76, 0.06264123594992865)","(393, 0.0)","(252, 0.027694581474248338)","(295, 0.036902954751798084)","(610, 0.0615144116585476)"
"(30, 0.062294799528866816)","(394, 0.0)","(323, 0.027684326087387683)","(276, 0.036866771595264636)","(292, 0.061456579695280386)"
"(176, 0.06228643348268434)","(395, 0.0)","(402, 0.02766611162300564)","(278, 0.036741932578771584)","(291, 0.061342150326715264)"
"(660, 0.06203379772789801)","(397, 0.0)","(34, 0.027646632531563676)","(541, 0.03673162816149326)","(150, 0.06132199284551227)"
"(66, 0.06177269642391476)","(398, 0.0)","(251, 0.027645376243989824)","(587, 0.03663060902687793)","(16, 0.061249222570343376)"
"(166, 0.06174767322662655)","(399, 0.0)","(304, 0.02761102188733756)","(475, 0.03662669407443243)","(253, 0.061003822696486916)"
"(584, 0.061117665959096644)","(4, 0.0)","(207, 0.027600451752021967)","(17, 0.03662016230603222)","(209, 0.06097723464532821)"
"(113, 0.060891915220363566)","(40, 0.0)","(625, 0.02751173040620382)","(279, 0.036611351245948706)","(398, 0.060757388885838925)"
"(297, 0.05984776710433113)","(400, 0.0)","(520, 0.02748580655516906)","(476, 0.036557513098212535)","(83, 0.060669910699491535)"
"(93, 0.05972389109279593)","(401, 0.0)","(593, 0.027305998841473427)","(593, 0.036422375474348984)","(158, 0.06058285169342471)"
"(186, 0.05922909231430418)","(402, 0.0)","(383, 0.027287386642526393)","(53, 0.036224118873728825)","(174, 0.060575494563946654)"
"(309, 0.0591869534538119)","(406, 0.0)","(35, 0.027239973318531865)","(127, 0.03602299870292795)","(625, 0.0605037958884379)"
"(308, 0.05895679747144394)","(407, 0.0)","(105, 0.027231367422117)","(248, 0.035817673263730004)","(504, 0.060292802784558217)"
"(310, 0.0576746585523337)","(41, 0.0)","(397, 0.027100417117475895)","(473, 0.03581324315776325)","(30, 0.060237065727081325)"
"(248, 0.05748300112908647)","(410, 0.0)","(638, 0.02706010760789354)","(1, 0.035796966532318196)","(125, 0.060170602920396644)"
"(175, 0.057336416102997785)","(412, 0.0)","(29, 0.02703047781695089)","(153, 0.035673610474849675)","(505, 0.06003323792646309)"
"(103, 0.057335982525927864)","(413, 0.0)","(331, 0.027013410558938345)","(250, 0.03558631225710401)","(142, 0.0599368195023266)"
"(182, 0.057132769507679156)","(414, 0.0)","(560, 0.026962987586012142)","(619, 0.03555863429897919)","(420, 0.05987518746827456)"
"(294, 0.05703498433214414)","(415, 0.0)","(459, 0.026812186509062294)","(209, 0.035480731229387594)","(72, 0.05977920932621135)"
"(295, 0.05701828316013967)","(416, 0.0)","(516, 0.02673301336723543)","(252, 0.03547392695101274)","(49, 0.059754859929058136)"
"(10, 0.05681706836964857)","(417, 0.0)","(228, 0.026677338451371317)","(251, 0.035462029042396544)","(42, 0.05967505824849107)"
"(31, 0.05670288224614162)","(418, 0.0)","(181, 0.026608562499447784)","(310, 0.03541054514832968)","(467, 0.059529289547162786)"
"(74, 0.05621444193092783)","(42, 0.0)","(186, 0.02654263285747599)","(574, 0.03540554285781754)","(186, 0.05948228158606064)"
"(293, 0.05605424355048794)","(420, 0.0)","(619, 0.026372710639180102)","(271, 0.035312258524184875)","(673, 0.05947078926184708)"
"(75, 0.0557755757185511)","(421, 0.0)","(468, 0.026318144946861254)","(600, 0.0353122554763629)","(23, 0.05946066086102227)"
"(296, 0.05574859124747149)","(422, 0.0)","(253, 0.02625623433087046)","(60, 0.035235031013043996)","(297, 0.05930498747917519)"
"(12, 0.05551401606061501)","(423, 0.0)","(325, 0.026247510211003022)","(312, 0.035132116643018525)","(448, 0.059296581577795514)"
"(233, 0.05526072539157176)","(424, 0.0)","(158, 0.02624014616247611)","(389, 0.03511758316469993)","(399, 0.059188575170775554)"
"(84, 0.054974510978659)","(425, 0.0)","(240, 0.026073122368882897)","(482, 0.03486252649349413)","(496, 0.05889365713026575)"
"(18, 0.054968515116938815)","(426, 0.0)","(256, 0.02601751748691978)","(479, 0.034631553338820585)","(95, 0.0588181355738113)"
"(652, 0.05467446203382335)","(427, 0.0)","(330, 0.025903771452550867)","(184, 0.03462836113681017)","(165, 0.058710302170031405)"
"(304, 0.05439109684133534)","(428, 0.0)","(145, 0.025863823689868906)","(303, 0.03451050868425935)","(194, 0.05857330142500745)"
"(19, 0.05329237914199124)","(429, 0.0)","(415, 0.02584412239907458)","(595, 0.03446895455569995)","(206, 0.0585126803809729)"
"(317, 0.05279229579283581)","(43, 0.0)","(58, 0.025821054664500697)","(594, 0.034202663626114675)","(122, 0.05827306229303707)"
"(81, 0.05167569402157498)","(433, 0.0)","(534, 0.025776658219094924)","(270, 0.034133854385082416)","(487, 0.05821645223904645)"
"(97, 0.05106751930968668)","(438, 0.0)","(169, 0.025764586516509737)","(244, 0.03399454437950806)","(423, 0.05817333595027241)"
"(69, 0.051011435145886644)","(439, 0.0)","(307, 0.025746381174280502)","(474, 0.033901826813043705)","(516, 0.057633689981454864)"
"(191, 0.050921995030674995)","(44, 0.0)","(135, 0.025725654265444393)","(186, 0.03387255667245842)","(226, 0.05745245915492784)"
"(227, 0.050854581270651976)","(440, 0.0)","(242, 0.025680918284317702)","(486, 0.03375605034316153)","(233, 0.05735992463246595)"
"(458, 0.05031701248454203)","(441, 0.0)","(582, 0.025674640287121357)","(625, 0.03348415755254113)","(224, 0.05723689557191616)"
"(7, 0.05012485847977607)","(442, 0.0)","(595, 0.02561404935403572)","(485, 0.03347814556489935)","(124, 0.057195543138427105)"
"(189, 0.050018502454056514)","(518, 0.0)","(243, 0.02560793718871619)","(22, 0.03340869590009203)","(3, 0.05714674785976654)"
"(87, 0.04997199168993798)","(519, 0.0)","(600, 0.02544864259970843)","(324, 0.03319607047723491)","(149, 0.057094513119984695)"
"(299, 0.04984461961521579)","(52, 0.0)","(613, 0.025441849002254685)","(29, 0.033183139927616775)","(499, 0.05707114269493648)"
"(157, 0.04983132878274184)","(520, 0.0)","(624, 0.025435014081660445)","(328, 0.03317909891350358)","(390, 0.05673291343402476)"
"(73, 0.049248769061824)","(521, 0.0)","(612, 0.02539791927383554)","(48, 0.03314145775646702)","(240, 0.056727183617933434)"
"(443, 0.04883685561795524)","(522, 0.0)","(535, 0.025397907129857535)","(290, 0.03313018480853392)","(219, 0.056644912627918036)"
"(14, 0.04883422194280464)","(523, 0.0)","(635, 0.025172689800329127)","(18, 0.03310287740621678)","(136, 0.056496283500762426)"
"(86, 0.04868882865148181)","(524, 0.0)","(463, 0.02516679308759758)","(273, 0.03307399458030537)","(502, 0.0562605791261129)"
"(516, 0.047809666315037615)","(528, 0.0)","(60, 0.025137718012261695)","(539, 0.03305383462318005)","(611, 0.05624944575658259)"
"(21, 0.047241697604370254)","(529, 0.0)","(533, 0.025116213726825952)","(481, 0.03301050777034594)","(243, 0.05619226729871415)"
"(444, 0.046599743225319096)","(53, 0.0)","(594, 0.02506746989402327)","(480, 0.03299282882795658)","(634, 0.05619113035842866)"
"(448, 0.046349063462951444)","(530, 0.0)","(248, 0.025033678875748228)","(478, 0.03299092970305798)","(140, 0.05614580955966084)"
"(629, 0.046264856729310626)","(531, 0.0)","(559, 0.024907277330143314)","(272, 0.032944957798373135)","(242, 0.055977324387626495)"
"(457, 0.04614920962368024)","(532, 0.0)","(14, 0.024855073814793543)","(407, 0.032845627184252206)","(14, 0.05569936090726197)"
"(290, 0.04609275706835602)","(533, 0.0)","(615, 0.024833389905157464)","(164, 0.03280923594773543)","(94, 0.05539055253401009)"
"(64, 0.0460667959322129)","(534, 0.0)","(517, 0.024783451863419674)","(10, 0.0325305887883022)","(318, 0.05532665419567859)"
"(167, 0.04541489771563641)","(535, 0.0)","(73, 0.02470011104686004)","(240, 0.03227542258914385)","(123, 0.055220715602984936)"
"(231, 0.04531118192174465)","(536, 0.0)","(421, 0.02467215293795566)","(397, 0.03198793137615603)","(115, 0.055055797613655956)"
"(303, 0.04513884444811761)","(537, 0.0)","(147, 0.02466077281879364)","(243, 0.03174810050074088)","(20, 0.055034191881712914)"
"(456, 0.044737879908415615)","(538, 0.0)","(2, 0.024626032366783582)","(242, 0.03173236659124801)","(615, 0.0548592314856694)"
"(459, 0.04469544408557531)","(539, 0.0)","(410, 0.024577645022240937)","(226, 0.03172608549570649)","(578, 0.05475319986529922)"
"(3, 0.044443329360167)","(54, 0.0)","(17, 0.024460512419712494)","(588, 0.031725241943254254)","(462, 0.05444012838090003)"
"(445, 0.044369436998995836)","(540, 0.0)","(387, 0.024394621935317638)","(555, 0.03171037476156494)","(215, 0.05440859940530993)"
"(72, 0.044367040945822465)","(541, 0.0)","(606, 0.024251536405397404)","(202, 0.031635129916619716)","(461, 0.05436663337028031)"
"(83, 0.04432250770084244)","(542, 0.0)","(549, 0.02417273810175481)","(322, 0.031586542486653706)","(629, 0.05423241398349905)"
"(446, 0.04427738853834423)","(543, 0.0)","(524, 0.024123373819461984)","(3, 0.031581305334007714)","(133, 0.05421956578937635)"
"(447, 0.044171400950809535)","(544, 0.0)","(52, 0.024090185182901087)","(158, 0.03141826870084481)","(18, 0.0542080315567064)"
"(204, 0.04374346284709742)","(545, 0.0)","(13, 0.024033777894463253)","(388, 0.03134924816802393)","(228, 0.05343558197395097)"
"(580, 0.043661955803652584)","(546, 0.0)","(588, 0.024001874236703767)","(606, 0.03130312885503447)","(490, 0.0533097346523558)"
"(465, 0.043374681421791295)","(547, 0.0)","(528, 0.023892403922062943)","(215, 0.031284618008259664)","(177, 0.05325211267784757)"
"(462, 0.04326756791172368)","(548, 0.0)","(206, 0.023846841760551716)","(154, 0.031174671078519147)","(457, 0.05321867900166071)"
"(461, 0.04324677355192855)","(549, 0.0)","(384, 0.02378500557169928)","(607, 0.030873065776867745)","(173, 0.052431864937232724)"
"(92, 0.04322745288997084)","(55, 0.0)","(332, 0.02373729208961765)","(415, 0.030845492584285015)","(79, 0.052184559250893214)"
"(464, 0.04304996938660698)","(550, 0.0)","(607, 0.023642840776264076)","(578, 0.03083025171499877)","(5, 0.051863919614974024)"
"(305, 0.04269275160636978)","(551, 0.0)","(611, 0.023601529739000517)","(413, 0.030689813636260378)","(616, 0.051491266147886655)"
"(306, 0.042605937205635803)","(552, 0.0)","(244, 0.023565455396333427)","(15, 0.030685397434122158)","(247, 0.05138419220938252)"
"(177, 0.042541790158342384)","(554, 0.0)","(614, 0.023504879311131478)","(287, 0.03043323334717083)","(296, 0.05128977972830451)"
"(46, 0.04234328565715788)","(555, 0.0)","(139, 0.023424484055739755)","(421, 0.030395973598337657)","(129, 0.05106518461174994)"
"(237, 0.042146090732440605)","(556, 0.0)","(3, 0.023364967306804936)","(33, 0.03039509543736292)","(579, 0.051028572961124445)"
"(184, 0.042028204980770784)","(558, 0.0)","(195, 0.023364053052073296)","(208, 0.030250264271785673)","(85, 0.050918163185434365)"
